Tamanho array	InsertionSort	SelectionSort	MergeSort	ShellSort	BubbleSort	HeapSort	QuickSort
100	0	0	0	0	0	0	0
1000	0	1	0	0	0	0	0
10000	0	26	0	0	0	1	26
100000	0	2559	4	1	0	6	2561
1000000	2	255866	52	10	1	60	256037
